Date,SPY,FXE,EWJ,GLD,QQQ,SHV,DBA,USO,XBI,ILF,GAF,EPP,FEZ,Mkt-RF,SMB,HML,RF
2007-03-19,111.683571,124.932243,50.314842,64.739998,39.108715000000004,101.08266400000001,25.146395000000002,48.700001,14.321963,26.363581,44.555897,27.783071999999997,36.092148,1.08,-0.11,0.02,0.019
2007-03-23,114.22473899999999,124.932243,51.454433,65.150002,39.876965000000006,101.184608,25.426981,50.57,14.814009,27.532024,46.180058,28.538353000000004,37.390514,0.08,0.08,0.04,0.019
2007-03-26,114.07337199999999,125.32609599999999,51.178162,65.839996,40.039642,101.193878,24.962560999999997,51.169998,14.814009,27.532024,46.180058,28.721829999999997,37.343422,0.06,-0.04,-0.08,0.019
2007-03-27,113.80251299999999,125.55110900000001,50.970974,65.699997,39.75946,101.22168,25.078667000000003,51.200001,14.810918,27.295242,45.865704,28.576752000000003,37.242519,-0.61,-0.21,-0.02,0.019
2007-03-28,112.97408300000001,125.129166,50.591095,66.050003,39.334671,101.249481,25.223799,52.0,14.792345999999998,26.925365000000003,45.222027,28.228987,36.899418,-0.74,0.22,-0.04,0.019
2007-03-29,113.09353600000001,125.354225,50.660168,65.650002,39.379847999999996,101.277328,25.243149,53.619999,14.78616,27.629528000000004,46.105206,28.493553000000002,37.410698,0.29,-0.2,0.17,0.019
2007-03-30,113.117424,125.588669,50.314842,65.739998,39.343693,101.277328,24.372362,53.349998,14.931610000000001,27.603215999999996,46.105206,28.664228,37.437626,-0.07,0.27,-0.05,0.019
2007-04-02,113.244896,125.812408,50.03857,65.849998,39.397926,101.281944,24.256256,53.560001,14.993504000000001,28.004049,46.816246,28.809317,37.632702,0.22,0.09,-0.11,0.022000000000000002
2007-04-03,114.463692,125.445747,50.452971999999995,65.83000200000001,39.913128,101.300522,24.072422,52.459998999999996,15.142039000000002,28.465237,47.459927,29.340565,38.043076,0.93,0.05,-0.12,0.022000000000000002
2007-04-04,114.59116399999999,125.69960800000001,50.832832,66.809998,40.075802,101.356285,24.362688000000002,52.330002,15.222503,28.599876000000002,47.639561,29.528309000000004,38.25835,0.09,-0.17,-0.25,0.022000000000000002
2007-04-05,114.90181000000001,126.367081,50.694697999999995,66.860001,40.274651,101.346977,24.604570000000002,52.009997999999996,15.457695000000001,28.723685999999997,47.796734,29.698996,38.608173,0.31,0.0,-0.08,0.022000000000000002
2007-04-09,115.06115700000001,125.64318100000001,50.625637,66.529999,40.175236,101.356285,24.633596,50.349998,15.501024,29.017735,47.976364,29.773684999999997,38.466896000000006,0.05,-0.24,0.07,0.022000000000000002
2007-04-10,115.196579,126.414124,50.798302,67.160004,40.383109999999995,101.384148,24.720675,50.610001000000004,15.451509,29.079635999999997,48.223362,30.204643,38.857071000000005,0.22,0.1,0.02,0.022000000000000002
2007-04-11,114.726578,126.47055800000001,50.591095,67.08000200000001,39.958309,101.412048,24.740026,50.459998999999996,15.364861,28.906307,47.826672,29.933690999999996,38.661986999999996,-0.64,-0.1,0.12,0.022000000000000002
2007-04-12,115.23645,126.94998899999999,50.52203,66.989998,40.274651,101.439911,24.662623999999997,51.650002,15.711456,29.045590999999998,48.268269,30.264390999999996,38.951267,0.61,0.25,-0.19,0.022000000000000002
2007-04-13,115.762161,127.485901,50.107642999999996,67.839996,40.355990999999996,101.458458,24.981913,51.52,15.829053,29.373686,48.724827,30.240925,39.314547999999995,0.34,0.24,-0.08,0.022000000000000002
2007-04-16,116.861443,127.542305,50.832832,68.400002,40.726563,101.477036,24.77873,51.200001,15.971404000000001,29.745116999999997,49.533165,30.616419,39.846001,1.06,0.29,0.11,0.022000000000000002
2007-04-17,117.17211200000001,127.73973799999999,50.52203,68.0,40.816952,101.486351,24.449764000000002,50.290001000000004,15.931173999999999,29.735825,49.907406,30.6527,39.872906,0.09,-0.42,-0.12,0.022000000000000002
2007-04-18,117.31554399999999,127.99358400000001,50.591095,68.379997,40.681358,101.551407,24.304634,50.139998999999996,15.931173999999999,29.553215,49.622978,30.573753000000004,39.812359,0.0,-0.71,0.44,0.022000000000000002
2007-04-19,117.283653,128.18158,50.349373,67.529999,40.807919,101.560677,24.604570000000002,49.220001,15.909513,29.587257,49.548134,30.168381,39.704727,-0.23,-0.38,0.03,0.022000000000000002
2007-04-20,118.39091499999999,128.040634,50.556576,68.699997,41.033871000000005,101.551407,24.6723,50.049999,16.073528,29.984995,50.221756,30.595089,40.370728,0.89,0.2,0.04,0.022000000000000002
2007-04-23,117.944832,127.86199199999999,50.004036,68.260002,41.09713,101.588554,24.188528,51.220001,16.429407,29.776058000000003,50.101994,30.3284,39.994003,-0.24,0.07,-0.29,0.022000000000000002
2007-04-24,117.992653,128.473053,49.934975,67.730003,41.305015999999995,101.597832,24.140152,50.389998999999996,16.398467999999998,29.664637,50.04961,29.955027,40.06126,-0.1,-0.04,-0.24,0.022000000000000002
